Front,Back,Tags
"【选择题】第1章 原子键合
决定电子能量及与核的平均距离的量子数是
A. 主量子数
B. 磁量子数
C. 轨道角动量量子数
D. 自旋量子数","正确答案：A. 主量子数
解析：主量子数 n 决定电子能量及与核的平均距离；l 决定轨道形状，m 决定空间取向，ms 决定自旋方向。",材料科学基础 选择题 第1章原子键合
"【选择题】第1章 原子键合
核外电子排布时优先排布在能量（　）的轨道
A. 最高
B. 最低
C. 适中
D. 以上都不是","正确答案：B. 最低
解析：按能量最低原理，电子优先占据能量最低的轨道，先低后高依次填充。",材料科学基础 选择题 第1章原子键合
"【选择题】第1章 原子键合
属于物理键的是
A. 共价键
B. 范德华力
C. 离子键
D. 金属键","正确答案：B. 范德华力
解析：物理键指范德华力（分子间作用力）；共价键、离子键、金属键都属于化学键。",材料科学基础 选择题 第1章原子键合
"【选择题】第1章 原子键合
高分子材料中的 C-H 化学键属于
A. 氢键
B. 离子键
C. 共价键
D. 分子间作用力","正确答案：C. 共价键
解析：C-H 键是原子间共用电子对形成的共价键；氢键和分子间作用力作用于分子之间，不是分子内部。",材料科学基础 选择题 第1章原子键合
"【选择题】第1章 原子键合
极化可使键性由（　）过渡，最终使晶体结构类型发生变化
A. 共价键向离子键
B. 离子键向共价键
C. 金属键向共价键
D. 金属键向离子键","正确答案：B. 离子键向共价键
解析：极化使离子电子云变形、键的共价成分增加，所以键性由离子键向共价键过渡，晶体结构类型随之变化。",材料科学基础 选择题 第1章原子键合
"【选择题】第1章 原子键合
具有良好的导电性和导热性能的材料是
A. 无机非金属材料
B. 合成材料
C. 复合材料
D. 金属材料","正确答案：D. 金属材料
解析：金属靠自由电子（电子气）导电导热，性能最好；陶瓷、聚合物没有自由电子。",材料科学基础 选择题 第1章原子键合
"【选择题】第1章 原子键合
不具有良好的导电性和导热性能的材料是
A. 铜
B. 铁
C. 聚乙烯塑料
D. 铝","正确答案：C. 聚乙烯塑料
解析：聚乙烯是高分子聚合物，无自由电子，不导电不导热；铜、铁、铝都是金属。",材料科学基础 选择题 第1章原子键合
"【选择题】第2章 晶体结构
空间点阵的特点是
A. 阵点周围环境都相同，在空间的位置一定
B. 阵点周围环境不同，在空间的位置一定
C. 阵点周围环境都相同，在空间的位置无序
D. 阵点周围环境不同，在空间的位置无序","正确答案：A. 阵点周围环境都相同，在空间的位置一定
解析：空间点阵要求阵点周围环境完全相同且空间位置确定，这是点阵区别于一般质点排列的本质。",材料科学基础 选择题 第2章晶体结构
"【选择题】第2章 晶体结构
某晶面在 x、y、z 轴上的截距分别为 3a、2b、c，晶面指数为
A. （236）
B. （321）
C. [236]
D. [321]","正确答案：A. （236）
解析：截距取倒数：1/3、1/2、1，通分×6 得 (236)；晶面指数用圆括号。",材料科学基础 选择题 第2章晶体结构
"【选择题】第2章 晶体结构
某晶面在 x、y、z 轴上的截距分别为 a、2b、2c，晶面指数为
A. （122）
B. （211）
C. [122]
D. [211]","正确答案：B. （211）
解析：截距取倒数：1、1/2、1/2，×2 得 (211)。",材料科学基础 选择题 第2章晶体结构
"【选择题】第2章 晶体结构
符号 [uvw] 表示
A. 晶面指数
B. 晶面族
C. 晶向指数
D. 晶向族","正确答案：C. 晶向指数
解析：[uvw] 是晶向指数（方括号），(hkl) 是晶面指数（圆括号）。",材料科学基础 选择题 第2章晶体结构
"【选择题】第2章 晶体结构
符号 <uvw> 表示
A. 晶面指数
B. 晶面族
C. 晶向指数
D. 晶向族","正确答案：D. 晶向族
解析：<uvw> 表示晶向族，{hkl} 表示晶面族。",材料科学基础 选择题 第2章晶体结构
"【选择题】第2章 晶体结构
在立方晶系中，相同指数的晶面和晶向
A. 平行
B. 呈 45 度夹角
C. 垂直
D. 以上都不是","正确答案：C. 垂直
解析：立方晶系中 (hkl) 与 [hkl] 互相垂直，如 (100)⊥[100]。",材料科学基础 选择题 第2章晶体结构
"【选择题】第2章 晶体结构
每个体心立方晶胞含有（　）个原子
A. 2
B. 4
C. 6
D. 8","正确答案：A. 2
解析：bcc 晶胞：8 个顶点各占 1/8 + 1 个体心原子 = 2 个。",材料科学基础 选择题 第2章晶体结构
"【选择题】第2章 晶体结构
一个体心立方晶胞含有（　）个原子
A. 3
B. 2
C. 4
D. 1","正确答案：B. 2
解析：体心立方：8×1/8（顶点）+ 1（体心）= 2 个原子。",材料科学基础 选择题 第2章晶体结构
"【选择题】第2章 晶体结构
等径球体作紧密堆积，其堆积系数为
A. 68%
B. 80%
C. 74%
D. 64%","正确答案：C. 74%
解析：等径球最紧密堆积（fcc/hcp）堆积系数 74%；bcc 为 68%。",材料科学基础 选择题 第2章晶体结构
